sci_name,long,lat
Bulbophyllum micropetaliforme,-41.481389,-12.469444
Bulbophyllum napellii,-41.5,-12.5
Bulbophyllum napellii,-41.475,-12.470833
Bulbophyllum plumosum,-41.866667,-13.866667
Bulbophyllum plumosum,-41.150556,-11.161111
Bulbophyllum plumosum,-41.511389,-12.756111
Bulbophyllum plumosum,-41.511389,-12.506111
Bulbophyllum plumosum,-40.997222,-11.989444
Bulbophyllum meridense,-40.329806,-10.531417
Bulbophyllum weddellii,-41.371944,-13.368889
Bulbophyllum weddellii,-41.627222,-13.6675
Bulbophyllum weddellii,-41.339167,-13.336944
Bulbophyllum weddellii,-41.188781,-11.566921
Bulbophyllum weddellii,-42.133333,-12.133333
Bulbophyllum weddellii,-41.316667,-12.8
Bulbophyllum weddellii,-41.945278,-13.949444
Bulbophyllum weddellii,-41.37,-13.371111
Bulbophyllum weddellii,-42.516492,-14.897767
Campylocentrum crassirhizum,-35.742222,-6.9575
Campylocentrum crassirhizum,-41.316667,-12.316667
Campylocentrum crassirhizum,-36.385,-8.240833
Campylocentrum crassirhizum,-35.425278,-5.589722
Campylocentrum crassirhizum,-35.433056,-5.594167
Campylocentrum crassirhizum,-35.427778,-5.584444
Campylocentrum crassirhizum,-41.45,-12.466667
Campylocentrum crassirhizum,-41.316667,-12.65
Campylocentrum crassirhizum,-36.930556,-10.036419
Campylocentrum crassirhizum,-38.92,-4.271111
Campylocentrum crassirhizum,-35.765,-6.974722
Campylocentrum crassirhizum,-38.970556,-4.207222
Campylocentrum crassirhizum,-40.751667,-13.8875
Campylocentrum crassirhizum,-38.216667,-9.4
Campylocentrum crassirhizum,-41.256944,-12.225833
Campylocentrum crassirhizum,-37.39,-10.550278
Campylocentrum crassirhizum,-37.410278,-9.481944
Campylocentrum crassirhizum,-37.483889,-10.441667
Campylocentrum crassirhizum,-37.811111,-10.738333
Campylocentrum crassirhizum,-37.65,-10.917222
Campylocentrum crassirhizum,-37.684167,-9.805278
Campylocentrum crassirhizum,-35.765,-6.973889
Campylocentrum crassirhizum,-36.409167,-8.201667
Campylocentrum crassirhizum,-40.751556,-13.8875
Campylocentrum crassirhizum,-36.572231,-9.526475
Campylocentrum crassirhizum,-37.423203,-9.617808
Campylocentrum crassirhizum,-36.639739,-9.801019
Campylocentrum crassirhizum,-37.058489,-9.682869
Campylocentrum crassirhizum,-36.572067,-9.526233
Campylocentrum crassirhizum,-37.594436,-10.225925
Campylocentrum crassirhizum,-36.956203,-9.884653
Campylocentrum crassirhizum,-35.843889,-8.381944
Campylocentrum crassirhizum,-39.568611,-7.994167
Campylocentrum crassirhizum,-41.468056,-12.471389
Campylocentrum crassirhizum,-41.218056,-11.231667
Campylocentrum crassirhizum,-41.0475,-11.048333
Campylocentrum crassirhizum,-39.083056,-10.072222
Campylocentrum crassirhizum,-38.483333,-9.483333
Campylocentrum crassirhizum,-38.126388,-9.071888
Campylocentrum crassirhizum,-36.785,-9.001666
Campylocentrum crassirhizum,-36.787083,-9.009944
Campylocentrum crassirhizum,-38.903639,-4.271056
Campylocentrum crassirhizum,-35.741755,-6.971994
Campylocentrum crassirhizum,-36.010444,-8.391583
Campylocentrum crassirhizum,-35.843944,-8.381944
Campylocentrum crassirhizum,-35.796902,-8.23333
Campylocentrum micranthum,-38.961944,-4.237222
Campylocentrum micranthum,-41.084079,-11.438865
Campylocentrum micranthum,-36.639739,-9.801019
Campylocentrum micranthum,-36.956203,-9.884653
Campylocentrum neglectum,-42.299167,-12.600278
Campylocentrum neglectum,-36.043319,-8.354358
Campylocentrum ornithorrhynchum,-36.932067,-10.052769
Campylocentrum pachyrrhizum,-36.572231,-9.526475
Campylocentrum parahybunense,-39.471667,-12.469444
Campylocentrum pauloense,-41.416667,-12.45
Campylocentrum pernambucense,-36.572231,-9.526467
Campylocentrum pernambucense,-40.183333,-13.183333
Campylocentrum robustum,-39.775,-10.922222
Campylocentrum robustum,-39.204167,-11.210278
Campylocentrum robustum,-41.000278,-14.001667
Campylocentrum robustum,-40.122222,-13.124167
Campylocentrum robustum,-40.491111,-12.485
Campylocentrum robustum,-40.416667,-12.416667
Campylocentrum sellowii,-41.168889,-11.496944
Campylocentrum sellowii,-41.8,-13.3
Campylocentrum sellowii,-39.9014,-6.24494
Campylocentrum sellowii,-41.000278,-14.001667
Campylocentrum sellowii,-41.103889,-11.100833
Campylocentrum sellowii,-41.225278,-11.229722
Campylocentrum sellowii,-41.8,-13.8
Catasetum barbatum,-39.327833,-7.325365
Catasetum barbatum,-37.155833,-8.623333
Catasetum barbatum,-39.450833,-7.461389
Catasetum barbatum,-40.0457536,-7.2163169
Catasetum barbatum,-38.618611,-6.6425
Catasetum barbatum,-37.322122,-8.548527
Catasetum barbatum,-39.305805,-8.222222
Catasetum barbatum,-39.348611,-7.407778
Catasetum barbatum,-35.843944,-8.381944
Catasetum barbatum,-38.36452778,-9.169638889
Catasetum blackii,-42.280278,-12.221944
Catasetum blackii,-39.266667,-12.583333
Catasetum discolor,-35.436944,-6.637778
Catasetum discolor,-35.623056,-5.654722
Catasetum discolor,-41.65,-12.0625
Catasetum discolor,-40.850444,-4.121361
Catasetum luridum,-40.144111,-10.51475
Catasetum luridum,-40.300089,-11.300278
Catasetum hookeri,-41.141111,-11.133889
Catasetum hookeri,-37.410278,-9.481944
Catasetum hookeri,-37.410833,-9.481944
Catasetum hookeri,-37.684167,-9.805278
Catasetum hookeri,-37.838611,-10.551389
Catasetum hookeri,-37.685833,-9.805278
Catasetum hookeri,-40,-11.366667
Catasetum hookeri,-41.2,-11.2
Catasetum hookeri,-40.4825,-12.475833
Catasetum hookeri,-41.085833,-11.095
Catasetum hookeri,-37.1558,-8.62306
Catasetum labiatum,-40.129,-10.229666
Catasetum lanciferum,-39.416667,-7
Catasetum luridum,-38.483333,-9.483333
Catasetum luridum,-39.332222,-9.323056
Catasetum luridum,-39.7,-12.7
Catasetum luridum,-40.600556,-11.609167
Catasetum luridum,-41.016456,-10.671966
Catasetum luridum,-38.216667,-9.4
Catasetum luridum,-41.283889,-12.241111
Catasetum luridum,-40.418922,-9.645083
Catasetum luridum,-39.183333,-11.183333
Catasetum luridum,-39.266667,-11.55
