family,genus,species,Long,Lat
Orchidaceae,Cyrtopodium,Cyrtopodium aliciae,-41.39192,-12.584525
Orchidaceae,Dimerandra,Dimerandra emarginata,-36.6169,-9.420745
Orchidaceae,Cyrtopodium,Cyrtopodium eugenii,-41.697454,-13.728502
Orchidaceae,Zygopetalum,Zygopetalum microphytum,-41.341614,-12.890217
Orchidaceae,Epidendrum,Epidendrum flammeum,-36.578349,-9.373094
Orchidaceae,Vanilla,Vanilla phaeantha,-35.380849,-5.883307
Orchidaceae,Catasetum,Catasetum uncatum,-38.56839,-10.697417
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.697125,-13.72892
Orchidaceae,Acianthera,Acianthera ochreata,-41.341614,-12.890217
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.341614,-12.890217
Orchidaceae,Epistephium,Epistephium williamsii,-41.763283,-13.151426
Orchidaceae,Eulophia,Eulophia maculata,-36.665361,-7.663642
Orchidaceae,Cattleya,Cattleya tenuis,-42.299167,-12.600556
Orchidaceae,Gomesa,Gomesa varicosa,-42.281667,-12.279444
Orchidaceae,Cyrtopodium,Cyrtopodium flavum,-39.4725,-12.469722
Orchidaceae,Prosthechea,Prosthechea moojenii,-41.2,-11.2
Orchidaceae,Cleistes,Cleistes moritzii,-41.383333,-12.383333
Orchidaceae,Epidendrum,Epidendrum strobiliferum,-41.483333,-12.483333
Orchidaceae,Bulbophyllum,Bulbophyllum plumosum,-41.866667,-13.866667
Orchidaceae,Epidendrum,Epidendrum dendrobioides,-41.85,-13.85
Orchidaceae,Epidendrum,Epidendrum dendrobioides,-41.916667,-13.916667
Orchidaceae,Pelexia,Pelexia viridis,-41.916667,-13.916667
Orchidaceae,Zygopetalum,Zygopetalum sellowii,-41.9,-13.9
Orchidaceae,Cyrtopodium,NA,-41.75,-13.75
Orchidaceae,Cattleya,Cattleya elongata,-41.85,-13.85
Orchidaceae,Gomesa,Gomesa praetexta,-41.9,-13.9
Orchidaceae,Habenaria,Habenaria petalodes,-39.054444,-11.054167
Orchidaceae,Sacoila,Sacoila lanceolata,-41.826111,-13.820833
Orchidaceae,Cattleya,Cattleya elongata,-41.45,-12.45
Orchidaceae,Pelexia,Pelexia viridis,-41.466667,-12.466667
Orchidaceae,Stelis,Stelis sclerophylla,-41.483333,-12.483333
Orchidaceae,Habenaria,NA,-41.396111,-10.388611
Orchidaceae,Stelis,Stelis montserratii,-41.9,-13.9
Orchidaceae,Gomesa,Gomesa gomezoides,-41.9,-14.9
Orchidaceae,Cleistes,Cleistes moritzii,-41.9,-13.9
Orchidaceae,Eulophia,Eulophia maculata,-41.916667,-13.916667
Orchidaceae,Zygopetalum,Zygopetalum maculatum,-39.533333,-12.533333
Orchidaceae,Stelis,Stelis montserratii,-41.383333,-12.383333
Orchidaceae,Maxillaria,Maxillaria marginata,-41.383333,-12.383333
Orchidaceae,Catasetum,Catasetum luridum,-38.483333,-9.483333
Orchidaceae,Grobya,Grobya amherstiae,-41.883333,-13.883333
Orchidaceae,Gomesa,Gomesa praetexta,-41.95,-13.95
Orchidaceae,Galeandra,Galeandra montana,-40.207778,-10.208611
Orchidaceae,Cyrtopodium,NA,-41.391667,-12.385833
Orchidaceae,Maxillaria,Maxillaria barbosae,-41.883333,-13.883333
Orchidaceae,Epidendrum,Epidendrum secundum,-39.533333,-12.533333
Orchidaceae,Eulophia,Eulophia maculata,-39.899167,-12.888333
Orchidaceae,Epidendrum,Epidendrum orchidiflorum,-41.452778,-12.456667
Orchidaceae,Bulbophyllum,Bulbophyllum mentosum,-41.886389,-13.893889
Orchidaceae,Eulophia,Eulophia maculata,-39.898611,-12.89
Orchidaceae,Octomeria,Octomeria alexandri,-41.466667,-12.466667
Orchidaceae,Sobralia,Sobralia liliastrum,-41.416667,-12.416667
Orchidaceae,Catasetum,Catasetum luridum,-39.332222,-9.323056
Orchidaceae,Cyrtopodium,Cyrtopodium flavum,-39.899167,-12.888333
Orchidaceae,Prescottia,Prescottia plantaginifolia,-39.541111,-12.538889
Orchidaceae,Cyrtopodium,Cyrtopodium flavum,-39.783056,-12.77
Orchidaceae,Epidendrum,Epidendrum secundum,-41.383333,-12.383333
Orchidaceae,Cattleya,Cattleya elongata,-41.200833,-11.2
Orchidaceae,Habenaria,Habenaria repens,-41.95,-13.95
Orchidaceae,Epidendrum,Epidendrum secundum,-41.191944,-11.184167
Orchidaceae,Isochilus,Isochilus linearis,-41.349444,-12.349722
Orchidaceae,Cattleya,Cattleya elongata,-41.319167,-12.323333
Orchidaceae,Habenaria,Habenaria pseudohamata,-41.376389,-13.383056
Orchidaceae,Epidendrum,Epidendrum secundum,-41.377778,-13.368056
Orchidaceae,Epidendrum,Epidendrum proligerum,-41.373611,-13.371111
Orchidaceae,Bulbophyllum,Bulbophyllum napellii,-41.5,-12.5
Orchidaceae,Epidendrum,Epidendrum orchidiflorum,-41,-11.011389
Orchidaceae,Rodriguezia,Rodriguezia obtusifolia,-41.383333,-12.383333
Orchidaceae,Epistephium,Epistephium williamsii,-41.933333,-13.933333
Orchidaceae,Bulbophyllum,Bulbophyllum weddellii,-41.371944,-13.368889
Orchidaceae,Habenaria,Habenaria mystacina,-41.344167,-13.3475
Orchidaceae,Eulophia,Eulophia maculata,-40.198611,-10.198611
