species,Long,Lat
Acianthera ochreata,-41.62,-13.0225
Thelyschista ghillanyi,-41.62,-13.024167
Eulophia maculata,-39.783333,-12.783333
Sarcoglottis curvisepala,-41.45,-12.45
Polystachya concreta,-41.425833,-12.423611
Gomesa ramosa,-40.480833,-12.479167
Epidendrum orchidiflorum,-40.484167,-12.493056
Habenaria nuda,-41.377222,-13.377222
Thelyschista ghillanyi,-41.3,-12.3
Gomesa ramosa,-40.491111,-12.488056
Notylia microchila,-40.475833,-12.4775
Anathallis aristulata,-41.37,-13.371111
Bulbophyllum weddellii,-41.339167,-13.336944
Epidendrum secundum,-41.348056,-13.347222
Cattleya luetzelburgii,-41.896944,-13.888889
Cleistes exilis,-41.433333,-12.433333
Sobralia sessilis,-41.000833,-11.011389
Sobralia sessilis,-41.120556,-11.132778
Gomesa ranifera,-39.479722,-12.468056
Epistephium williamsii,-41.906667,-13.901389
Bulbophyllum exaltatum,-41.341667,-12.341667
Octomeria alexandri,-41.75,-13.75
Epidendrum secundum,-41.454722,-12.450278
Habenaria petalodes,-39.466667,-12.466667
Epistephium williamsii,-41.8,-13.8
Epidendrum secundum,-41.193056,-11.185278
Rodriguezia bracteata,-39.479722,-12.468056
Bulbophyllum mentosum,-41.991667,-12.428056
Epidendrum orchidiflorum,-41.62,-13.024167
Cattleya luetzelburgii,-41.62,-13.024167
Cyrtopodium flavum,-41.62,-13.024167
Cattleya elongata,-41.62,-13.024167
Acianthera ochreata,-41.62,-13.024167
Cyrtopodium aliciae,-41.833333,-13.833333
Epistephium williamsii,-41.341667,-12.341667
Epidendrum cristatum,-39.466667,-12.466667
Prescottia montana,-41.2,-11.2
Gomesa gomezoides,-41.900833,-13.916111
Prescottia leptostachya,-40.991111,-11.985833
Epidendrum orchidiflorum,-41.2,-11.2
Epidendrum secundum,-41.2,-11.2
Zygopetalum maculatum,-41.5,-12.5
Epidendrum secundum,-37.726389,-9.725556
Vanilla palmarum,-38.730556,-8.726944
Trichocentrum cepula,-38.310556,-6.313611
Vanilla palmarum,-39.7,-12.7
Prescottia plantaginifolia,-38.755278,-8.760833
Habenaria schenckii,-39.054444,-11.054167
Maxillaria humilis,-41.883333,-13.883333
Sobralia sessilis,-41.341667,-12.341667
Vanilla palmarum,-39.455833,-11.462222
Cattleya luetzelburgii,-41.851111,-13.861944
Zygopetalum sellowii,-41.866667,-13.866667
Epidendrum secundum,-39.471944,-12.469722
Zygopetalum maculatum,-39.466667,-12.466667
Octomeria alexandri,-41.027222,-11.017778
Habenaria repens,-41.027222,-11.017778
Epidendrum orchidiflorum,-41.14,-11.1475
Cattleya elongata,-41.15,-11.15
Epistephium williamsii,-41.289722,-13.680556
Epidendrum secundum,-42.569722,-14.575278
Epidendrum orchidiflorum,-41.620556,-13.024167
Epidendrum secundum,-41.309444,-13.686389
Epidendrum secundum,-41.466667,-13.683333
Encyclia alboxanthina,-41.466667,-13.683333
Cyrtopodium aliciae,-41.802222,-13.533889
Epidendrum secundum,-41.207222,-11.542222
Acianthera ochreata,-41.357222,-11.354722
Sobralia liliastrum,-41.001944,-12.463333
Eulophia maculata,-36.352903,-7.417292
Sacoila lanceolata,-35.492258,-6.851143
Trichocentrum fuscum,-40.839588,-4.057398
Cyrtopodium flavum,-41.341435,-12.99465
Epidendrum secundum,-36.020556,-7.905833
Sacoila lanceolata,-36.020556,-7.905833
Epidendrum secundum,-41.51,-12.755556
Bulbophyllum exaltatum,-40.695222,-11.241194
Acianthera ochreata,-36.405111,-8.197611
Bulbophyllum exaltatum,-41.208111,-11.59225
Acianthera ochreata,-41.369944,-13.003833
Acianthera ochreata,-41.41775,-12.461639
Acianthera ochreata,-41.896389,-13.070556
Octomeria alexandri,-41.272417,-13.25825
