scientificName,family,genus,species,NM_MUN,SIGLA_UF,Latitude,Longitude
Thelyschista ghillanyi (Pabst) Garay,Orchidaceae,Thelyschista,Thelyschista ghillanyi,Andarai,BA,-12.981111,-41.293889
Cattleya elongata Barb.Rodr.,Orchidaceae,Cattleya,Cattleya elongata,Andarai,BA,-12.801111,-41.324444
Epidendrum dendrobioides Thunb.,Orchidaceae,Epidendrum,Epidendrum dendrobioides,Andarai,BA,-12.957778,-41.303056
Gomesa ramosa (Lindl.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa ramosa,Andarai,BA,-12.883333,-41.316667
Oeceoclades maculata (Lindl.) Lindl.,Orchidaceae,Eulophia,Eulophia maculata,Andarai,BA,-12.65,-41.316667
Epistephium williamsii Hook.f.,Orchidaceae,Epistephium,Epistephium williamsii,Andarai,BA,-12.8025,-41.344167
Sobralia liliastrum Lindl.,Orchidaceae,Sobralia,Sobralia liliastrum,Andarai,BA,-12.8025,-41.344167
Encyclia oncidioides (Lindl.) Schltr.,Orchidaceae,Encyclia,Encyclia oncidioides,Andarai,BA,-12.7,-41.333333
Encyclia alboxanthina Fowlie,Orchidaceae,Encyclia,Encyclia alboxanthina,Andarai,BA,-12.851389,-41.31
Cattleya elongata Barb.Rodr.,Orchidaceae,Cattleya,Cattleya elongata,Andarai,BA,-12.8,-41.316667
Epidendrum orchidiflorum Salzm. ex Lindl.,Orchidaceae,Epidendrum,Epidendrum orchidiflorum,Andarai,BA,-12.803333,-41.338611
Campylocentrum crassirhizum Hoehne,Orchidaceae,Campylocentrum,Campylocentrum crassirhizum,Andarai,BA,-12.65,-41.316667
Epidendrum secundum Jacq.,Orchidaceae,Epidendrum,Epidendrum secundum,Andarai,BA,-12.973889,-41.299444
Encyclia alboxanthina Fowlie,Orchidaceae,Encyclia,Encyclia alboxanthina,Andarai,BA,-12.973889,-41.299444
Cattleya luetzelburgii Van den Berg,Orchidaceae,Cattleya,Cattleya luetzelburgii,Andarai,BA,-12.973889,-41.299444
Epistephium williamsii Hook.f.,Orchidaceae,Epistephium,Epistephium williamsii,Andarai,BA,-12.973889,-41.299444
Cattleya Ç?bahiensis Rolfe,Orchidaceae,Cattleya,Cattleya bahiensis,Andarai,BA,-12.973611,-41.299444
Cattleya elongata Barb.Rodr.,Orchidaceae,Cattleya,Cattleya elongata,Andarai,BA,-12.890854,-41.323196
Encyclia alboxanthina Fowlie,Orchidaceae,Encyclia,Encyclia alboxanthina,Andarai,BA,-12.866395,-41.346536
Encyclia oncidioides (Lindl.) Schltr.,Orchidaceae,Encyclia,Encyclia oncidioides,Andarai,BA,-12.963889,-41.305
Epidendrum secundum Jacq.,Orchidaceae,Epidendrum,Epidendrum secundum,Andarai,BA,-12.963889,-41.305
Zygopetalum maculatum (Kunth) Garay,Orchidaceae,Zygopetalum,Zygopetalum maculatum,Andarai,BA,-12.984167,-41.293333
Epidendrum orchidiflorum Salzm. ex Lindl.,Orchidaceae,Epidendrum,Epidendrum orchidiflorum,Andarai,BA,-12.973611,-41.299444
Epistephium sclerophyllum Lindl.,Orchidaceae,Epistephium,Epistephium sclerophyllum,Andarai,BA,-12.973611,-41.299444
